"ChildID","SchoolId","Male","Race","SES","FLunch","Age","time0","time1","time2","time3","time7","time11"
"0750009C",750,0,"White",0.75,2.13,60,48.61,75.76,87.86,126.5,165.23,177.83
"0750010C",750,1,"White",0.52,2.13,62,31.08,37.22,45.95,79.79,135.84,198.96
"0750011C",750,0,"White",1.48,2.13,65,41.32,51.64,59.56,99.61,181.33,192.96
"0750012C",750,0,"White",-0.64,2.13,69,33.61,48.61,52.14,88.01,143.05,160.41
"0750015C",750,1,"White",-0.81,2.13,71,33.8,34.86,36.33,50.64,89.54,111.5
"0750016C",750,1,"White",0,2.13,75,30.84,42.2,42.72,64.65,122.79,136.59
"0750018C",750,0,"White",-0.48,2.13,64,41.01,62.04,75.93,121.32,144.8,165.12
"0750020C",750,0,"White",-0.34,2.13,65,27.67,45.76,48.09,78.73,149.34,173.24
"0750021C",750,0,"White",-0.16,2.13,75,28.3,42.43,48.89,72.84,125.52,142.53
"0750022C",750,1,"White",0.17,2.13,64,33.49,42.53,43.44,78.64,120.6,136.44
"0750023C",750,1,"White",-0.65,2.13,62,24.65,25.15,25.66,43.5,62.94,84.06
"0750024C",750,1,"White",-0.54,2.13,60,31.14,34.45,41.82,66.47,127.87,145.95
"0751002C",751,0,"White",1.41,47.91,61,38.71,44.89,49.52,74.94,152.6,179.46
"0751003C",751,0,"White",-0.38,47.91,60,74.31,77.56,88.71,104.22,178.41,191.95
"0751004C",751,1,"White",-1,47.91,65,24.53,25.37,25.69,37.6,83.51,99.11
"0751005C",751,0,"White",-1.16,47.91,64,26.86,37.6,41.75,49.89,109.86,126.39
"0751006C",751,0,"White",-0.79,47.91,69,33.63,46.28,43.99,66.04,91.74,123.86
"0751007C",751,0,"Black",-0.26,47.91,60,25.44,32.11,33.08,54.74,106.27,126.34
"0751009C",751,1,"White",-0.66,47.91,61,34.77,43.65,44.53,47.95,87.18,106.21
"0751010C",751,1,"White",-0.72,47.91,71,28.29,32.46,29.3,29.58,73.14,106.25
